,url,Car model
0,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2015 Toyota Prius 
1,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2019 Mercedes-Benz C 200 
2,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2011 Volkswagen Golf 
3,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2017 Ford Escape 
4,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2020 Mercedes-Benz C 63 S 
5,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2012 Subaru Impreza 
6,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2013 Nissan Tiida 
7,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2012 Toyota Camry 
8,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2015 Holden Commodore 
9,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2014 Audi RS6 
10,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2016 Mitsubishi Pajero 
11,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2000 Subaru Legacy 
12,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2012 Toyota Hiace 
13,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2014 Ford Ranger 
14,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2014 Mazda Atenza 
15,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 1995 Toyota Land Cruiser 
16,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2014 Land Rover Range Rover 
17,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 1976 Ford LTD 
18,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2007 BMW 118i 
19,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2011 Subaru Forester 
20,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2010 Toyota Prius 
21,https://www.trademe.co.nz/a/motors/cars/search?odometer_min=100, 2010 Nissan Safari 
